query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size,eval_type,motif_similarity,n_pos_feedback_pred,n_neg_feedback_pred,cascade_depth_pred,n_fanout_pred,n_fanin_pred,n_bottleneck_pred,n_pos_feedback_gt,n_neg_feedback_gt,cascade_depth_gt,n_fanout_gt,n_fanin_gt,n_bottleneck_gt,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping,fidelity,n_back_translated,n_predicted,fidelity_max,fidelity_min,coherence_score,mean_raw_score,n_judged
Federal Reserve Annual Reports and Financial Disclosures,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.018518518656492233,0.0,1.4377014636993408,0.0,2.6390578746795654,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.013513513840734959,0.0,1.4152779579162598,0.0,2.9444386959075928,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.339717984199524,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.018472906202077866,0.0,1.1124565601348877,0.0,2.615631103515625,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.40753173828125,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.2980356216430664,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.482709527015686,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.2181949615478516,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,left_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.283172607421875,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.018518518656492233,0.0,1.4377014636993408,0.0,2.6390578746795654,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.013513513840734959,0.0,1.4152779579162598,0.0,2.9444386959075928,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.339717984199524,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.018472906202077866,0.0,1.1124565601348877,0.0,2.615631103515625,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.40753173828125,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.2980356216430664,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.016129031777381897,0.0,1.482709527015686,0.0,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01515151560306549,0.0,1.2181949615478516,0.0,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,right_kan,,,,,,,,,homology,,,,,,,,,,,,,,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.995848536491394,0.013495276682078838,0.01515151560306549,1.356336236000061,1.283172607421875,2.9264180660247803,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9989585876464844,0.013495276682078838,0.018518518656492233,1.3195455074310303,1.4377014636993408,2.9264180660247803,2.6390578746795654,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9989514946937561,0.013495276682078838,0.01512605044990778,1.2487804889678955,1.0720434188842773,2.9264180660247803,2.8133552074432373,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9980936050415039,0.013495276682078838,0.013513513840734959,1.5148561000823975,1.4152779579162598,2.9264180660247803,2.9444386959075928,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9961497187614441,0.012820512987673283,0.01609848439693451,1.3747763633728027,1.339717984199524,2.9957327842712402,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9973143339157104,0.013495276682078838,0.018472906202077866,1.4320125579833984,1.1124565601348877,2.9264180660247803,2.615631103515625,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9928184747695923,0.013495276682078838,0.014285714365541935,1.2870216369628906,1.0893096923828125,2.9264180660247803,2.890371561050415,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9989959001541138,0.012820512987673283,0.016129031777381897,1.4320125579833984,1.5808185338974,2.9957327842712402,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9968472719192505,0.013495276682078838,0.01994301937520504,1.258048176765442,1.3760554790496826,2.9264180660247803,2.540036916732788,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9981357455253601,0.013495276682078838,0.01609848439693451,1.4581749439239502,1.3345928192138672,2.9264180660247803,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9980814456939697,0.013495276682078838,0.017241379246115685,1.3661589622497559,1.2654131650924683,2.9264180660247803,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Recovery and resolution planning for financial market infrastructures,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9982970356941223,0.013495276682078838,0.017241379246115685,1.2056281566619873,1.2654131650924683,2.9264180660247803,2.7080507278442383,,,,,,,,,,,,,,,,,,,,,,
Fiduciary duties and legal obligations of board members,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.996466875076294,0.013495276682078838,0.016129031777381897,1.2312356233596802,1.354710340499878,2.9264180660247803,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Committee formations and their specific functions,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9947983622550964,0.015015015378594398,0.016129031777381897,1.3747763633728027,1.1803045272827148,2.787788152694702,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Quorum requirements and participation thresholds,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9979599714279175,0.012820512987673283,0.016129031777381897,1.2487804889678955,1.354710340499878,2.9957327842712402,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Unconventional monetary policy tools during economic crises,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9990200996398926,0.012820512987673283,0.016129031777381897,1.4184837341308594,1.40753173828125,2.9957327842712402,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
Open market operations and asset purchase programs,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9973303079605103,0.01422475092113018,0.01515151560306549,1.4320125579833984,1.2980356216430664,2.857103109359741,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
board of governors structural organization,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9990739226341248,0.012820512987673283,0.016129031777381897,1.426301121711731,1.482709527015686,2.9957327842712402,2.7725887298583984,,,,,,,,,,,,,,,,,,,,,,
The Taylor Rule and systematic policy frameworks,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9985148906707764,0.013495276682078838,0.01515151560306549,1.2240684032440186,1.2181949615478516,2.9264180660247803,2.8332133293151855,,,,,,,,,,,,,,,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,naive_rag,,,,,,,,,homology,,,,,,,,,,,,,,0.9961596131324768,0.013495276682078838,0.01609848439693451,1.544479489326477,1.3180238008499146,2.9264180660247803,2.75166654586792,,,,,,,,,,,,,,,,,,,,,,
Roles and responsibilities of individual board members,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6061369057029704,0.3938630942970296,0.1666666716337204,0.9411764740943909,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.764931484374283,0.23506851562571698,0.1666666716337204,0.5,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3571428656578064,0.1666666716337204,0.1428571492433548,0.1666666716337204,0.0,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7166011084355912,0.2833988915644088,0.1666666716337204,0.2222222238779068,0.1666666716337204,0.0555555559694767,0.1666666716337204,0.7222222089767456,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
federal reserve public communication channels,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7608688993888029,0.23913110061119708,0.1666666716337204,0.2631579041481018,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.5789473652839661,0.1666666716337204,0.15789473056793213,0.1666666716337204,0.0,,,,,,,,
Indemnification and liability protection policies for board members,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Monetary Policy Reports Submitted to Congress,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.8313656869424738,0.1686343130575262,0.1666666716337204,0.5333333611488342,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.13333334028720856,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.13333334028720856,,,,,,,,
Proportional representation methods and their implementation,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
The impact of unconvent,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7396753159210999,0.2603246840789001,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,0.1666666716337204,0.125,,,,,,,,
Beige Book Regional Economic Condition Reports,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7434940112692878,0.2565059887307122,0.1666666716337204,0.4285714328289032,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0714285746216774,0.1666666716337204,0.5,0.1666666716337204,0.0,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7091931934223722,0.2908068065776278,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.7647058963775635,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7819843159743151,0.21801568402568497,0.1666666716337204,0.4000000059604645,0.1666666716337204,0.2666666805744171,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Recovery and resolution planning for financial market infrastructures,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7748055293123968,0.2251944706876033,0.1666666716337204,0.46666666865348816,0.1666666716337204,0.0,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.0,,,,,,,,
Fiduciary duties and legal obligations of board members,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Committee formations and their specific functions,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6082653803947862,0.3917346196052138,0.1666666716337204,0.9375,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Quorum requirements and participation thresholds,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6724388037582351,0.32756119624176494,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3125,0.1666666716337204,0.0,,,,,,,,
Unconventional monetary policy tools during economic crises,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.9406812923341048,0.05931870766589521,0.1666666716337204,0.125,0.1666666716337204,0.0625,0.1666666716337204,0.1875,0.1666666716337204,0.125,0.1666666716337204,0.4375,0.1666666716337204,0.0625,,,,,,,,
Open market operations and asset purchase programs,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7578466470247527,0.24215335297524732,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.11764705926179886,0.1666666716337204,0.3529411852359772,0.1666666716337204,0.0,,,,,,,,
board of governors structural organization,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7137453392238173,0.28625466077618267,0.1666666716337204,0.75,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,,,,,,,,
The Taylor Rule and systematic policy frameworks,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7678934053520401,0.2321065946479599,0.1666666716337204,0.7058823704719543,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.05882352963089943,,,,,,,,
Real Estate and Construction Market Conditions Across Regions,left_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7680428116048265,0.23195718839517354,0.1666666716337204,0.29411765933036804,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0,,,,,,,,
Roles and responsibilities of individual board members,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6061369057029704,0.3938630942970296,0.1666666716337204,0.9411764740943909,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.764931484374283,0.23506851562571698,0.1666666716337204,0.5,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3571428656578064,0.1666666716337204,0.1428571492433548,0.1666666716337204,0.0,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7166011084355912,0.2833988915644088,0.1666666716337204,0.2222222238779068,0.1666666716337204,0.0555555559694767,0.1666666716337204,0.7222222089767456,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
federal reserve public communication channels,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7608688993888029,0.23913110061119708,0.1666666716337204,0.2631579041481018,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.5789473652839661,0.1666666716337204,0.15789473056793213,0.1666666716337204,0.0,,,,,,,,
Indemnification and liability protection policies for board members,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Monetary Policy Reports Submitted to Congress,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.8313656869424738,0.1686343130575262,0.1666666716337204,0.5333333611488342,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.13333334028720856,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.13333334028720856,,,,,,,,
Proportional representation methods and their implementation,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
The impact of unconvent,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7396753159210999,0.2603246840789001,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,0.1666666716337204,0.125,,,,,,,,
Beige Book Regional Economic Condition Reports,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7434940112692878,0.2565059887307122,0.1666666716337204,0.4285714328289032,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0714285746216774,0.1666666716337204,0.5,0.1666666716337204,0.0,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7091931934223722,0.2908068065776278,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.7647058963775635,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0,,,,,,,,
Cross-border financial contagion and central bank coordination frameworks,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7819843159743151,0.21801568402568497,0.1666666716337204,0.4000000059604645,0.1666666716337204,0.2666666805744171,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Recovery and resolution planning for financial market infrastructures,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7748055293123968,0.2251944706876033,0.1666666716337204,0.46666666865348816,0.1666666716337204,0.0,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.0,,,,,,,,
Fiduciary duties and legal obligations of board members,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Committee formations and their specific functions,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6082653803947862,0.3917346196052138,0.1666666716337204,0.9375,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0,,,,,,,,
Quorum requirements and participation thresholds,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.6724388037582351,0.32756119624176494,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3125,0.1666666716337204,0.0,,,,,,,,
Unconventional monetary policy tools during economic crises,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.9406812923341048,0.05931870766589521,0.1666666716337204,0.125,0.1666666716337204,0.0625,0.1666666716337204,0.1875,0.1666666716337204,0.125,0.1666666716337204,0.4375,0.1666666716337204,0.0625,,,,,,,,
Open market operations and asset purchase programs,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7578466470247527,0.24215335297524732,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.11764705926179886,0.1666666716337204,0.3529411852359772,0.1666666716337204,0.0,,,,,,,,
board of governors structural organization,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7137453392238173,0.28625466077618267,0.1666666716337204,0.75,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,,,,,,,,
The Taylor Rule and systematic policy frameworks,right_kan,,,,,,,,,universality,,,,,,,,,,,,,,,,,,,,,0.7678934053520401,0.2321065946479599,0.1666666716337204,0.7058823704719543,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.05882352963089943,,,,,,,,
